agent_1,agent_2,sat,dep,commit,ticks_tog,tick
15,20,-7.5,-3.5,-2,1,77
16,1,-0.5666814851814849,-11.063556832056836,945,14,77
16,2,-10.666666666666666,-9,54,3,77
16,3,-12.21,4.79,9,1,77
16,4,-5.465833333333333,7.700833333333333,90,4,77
16,5,-16.74285714285714,-16.307142857142857,324,8,77
16,6,-21.62333333333333,-8.455666666666668,90,4,77
16,7,-13,-7,9,1,77
16,8,-12.67,-8.67,9,1,77
16,9,-22.797833333333333,-8.231166666666667,135,5,77
16,10,-12.623333333333335,-8.456666666666667,90,4,77
16,11,2,8,0,0,77
16,12,-26.742857142857144,-23.307142857142857,324,8,77
16,13,-8,-3,9,1,77
16,14,-11.081000000000001,-7.514333333333333,135,5,77
16,15,-8.439904761904762,-13.004190476190475,324,8,77
16,17,-14.21,4.79,9,1,77
16,18,7,5,0,0,77
16,19,-9.125428571428571,1.0602857142857145,252,7,77
16,20,-12.475,-4.475,27,2,77
17,1,-6.793333333333333,11.373333333333333,-50,4,77
17,2,8,-3,0,0,77
17,3,2,-6,0,0,77
17,4,-13.833333333333334,15.833333333333334,-30,3,77
17,5,-3.415,7.585,-15,2,77
17,6,-9.833333333333334,17.833333333333332,-30,3,77
17,7,9858.788923862992,9926.364323156073,-4515,42,77
17,8,-5,4,0,0,77
17,9,-4.8,2.1999999999999993,-5,1,77
17,10,-6.025,23.974999999999998,-15,2,77
17,11,-15,5,-5,1,77
17,12,13.425119047619047,49.72511904761904,-140,7,77
17,13,0,7,0,0,77
17,14,-14.5,17.5,-15,2,77
17,15,-9.15,17.150000000000002,-105,6,77
17,16,-9.83,12.17,-5,1,77
17,18,-8.17,9.83,-15,2,77
17,19,-0.5,5.5,-5,1,77
17,20,7,0.001,0,0,77
18,1,0.41666666666666663,11.75,60,4,77
18,2,-9,-6,0,0,77
18,3,14.525,23.85833333333333,36,3,77
18,4,-7,10,0,0,77
18,5,7.9,13.9,6,1,77
18,6,-1,9,0,0,77
18,7,22.868333333333336,32.20166666666667,36,3,77
18,8,15.8520907866801,35.4318832488854,6210,45,77
18,9,5,8,6,1,77
18,10,6.5,3.8333333333333335,36,3,77
18,11,11.5,7.5,6,1,77
18,12,13.861666666666668,26.195,60,4,77
18,13,3.635,6.635,18,2,77
18,14,4.2,24.2,18,2,77
18,15,10.566666666666666,20.7,90,5,77
18,16,-9,-2,0,0,77
18,17,7.655,9.655000000000001,18,2,77
18,19,-2.0999999999999996,3.9000000000000004,6,1,77
18,20,-10,4,0,0,77
19,1,16.386904761904763,14.873809523809523,180,9,77
19,2,30.491666666666667,37.74166666666667,40,4,77
19,3,31.094748339079224,23.413405907001497,612,17,77
19,4,0.5,11,12,2,77
19,5,11.235,15.485,40,4,77
19,6,24.344099012099015,34.29878599178599,480,15,77
19,7,-1.5,14,12,2,77
19,8,-7,3,0,0,77
19,9,9.778571428571428,10.557142857142857,112,7,77
19,10,19.02857142857143,11.807142857142857,112,7,77
19,11,3,-2,0,0,77
19,12,-3,2,0,0,77
19,13,0,-9,0,0,77
19,14,2,-4,4,1,77
19,15,8,-2,0,0,77
19,16,30.915523809523812,57.694095238095244,112,7,77
19,17,5,13,4,1,77
19,18,2.9000000000000004,3.9000000000000004,4,1,77
19,20,-2,-1,0,0,77
20,1,15.025,-11.475,-6,2,77
20,2,5,-7,0,0,77
20,3,-5,5,0,0,77
20,4,3.8333333333333335,-19.666666666666668,-12,3,77
20,5,-5,-1,0,0,77
20,6,3.3149999999999995,-15.185,-6,2,77
20,7,-0.5,-19,-6,2,77
20,8,0,8,0,0,77
20,9,7.968333333333334,-9.531666666666668,-12,3,77
20,10,6.79,2.79,-2,1,77
20,11,11445.30503035413,11409.489739010447,-3422,58,77
20,12,1,0.001,0,0,77
20,13,-10,2,0,0,77
20,14,13.333333333333334,-11.166666666666666,-12,3,77
20,15,-1.2800000000000002,-12.280000000000001,-2,1,77
20,16,-3.175,-13.675,-6,2,77
20,17,8,-1,0,0,77
20,18,8,-8,0,0,77
20,19,1,-2,0,0,77
1,2,-11.233333333333334,-6.233333333333333,36,3,78
1,3,-8.265261904761907,-14.265261904761907,168,7,78
1,4,-9.45,1.5499999999999998,18,2,78
1,5,-2.1550000000000002,-0.15500000000000025,18,2,78
1,6,-16.850333333333335,-11.850333333333333,90,5,78
1,7,-14.77,-5.77,18,2,78
1,8,4.5,-1.5,6,1,78
1,9,-12.428333333333333,-11.428333333333333,60,4,78
1,10,-11.078166666666664,-11.078166666666664,90,5,78
1,11,-8,4,0,0,78
1,12,-7.975000000000001,0.02499999999999991,60,4,78
1,13,6.2,7.2,6,1,78
1,14,-8.45,1.5499999999999998,18,2,78
1,15,-7.418666666666666,-12.418666666666667,168,7,78
1,16,-4.8255492007992,-13.825549200799202,630,14,78
1,17,-9.824166666666668,-13.824166666666668,60,4,78
1,18,-4.983333333333333,-4.983333333333333,60,4,78
1,19,-3.371845238095238,-13.371845238095238,270,9,78
1,20,-0.13000000000000034,-13.13,18,2,78
2,1,8.95,-0.3833333333333331,-18,3,78
2,3,16.886261904761906,24.07197619047619,-84,7,78
2,4,9517.832175167643,9522.340261245517,-2340,39,78
2,5,5,-1,0,0,78
2,6,2.525,13.191666666666666,-18,3,78
2,7,0.7050000000000001,0.7049999999999992,-9,2,78
2,8,6.25,-0.75,-3,1,78
2,9,-2.325,4.675,-9,2,78
2,10,16.38,3.0466666666666664,-18,3,78
2,11,22.753333333333334,21.92,-30,4,78
2,12,4.423333333333334,8.59,-30,4,78
2,13,6,6,0,0,78
2,14,8.9,0.9000000000000004,-3,1,78
2,15,14.704999999999998,0.7049999999999992,-9,2,78
2,16,15.991666666666667,9.658333333333333,-18,3,78
2,17,2,-2,0,0,78
2,18,2,-4,0,0,78
2,19,7.458333333333332,26.624999999999996,-30,4,78
2,20,-9,-7,0,0,78
3,1,33.40238095238095,1.0666666666666667,224,7,78
3,2,33.321619047619045,16.985904761904763,224,7,78
3,4,3,0.001,0,0,78
3,5,-5,6,0,0,78
3,6,3.17,5.17,8,1,78
3,7,14.565,19.064999999999998,24,2,78
3,8,4,10,0,0,78
3,9,39.0325,20.2825,80,4,78
3,10,37.62266522366522,6.44376911976912,528,11,78
3,11,21.08,13.579999999999998,24,2,78
3,12,27.565261904761908,9.229547619047619,224,7,78
3,13,35.760000000000005,11.009999999999998,80,4,78
3,14,15.87,-2.63,48,3,78
3,15,22.459976190476194,1.9992619047619051,288,8,78
3,16,12.719999999999999,13.719999999999999,8,1,78
3,17,0,-6,0,0,78
3,18,20.753333333333334,6.253333333333333,48,3,78
3,19,56.519164644179355,31.063191940412526,1368,18,78
3,20,-9,5,0,0,78
4,1,6,-14.5,-3,2,78
4,2,13.627904569748786,-10.14689670280584,-780,39,78
4,3,-2,6,0,0,78
4,5,-10,7,0,0,78
4,6,16.403333333333332,0.82,-10,4,78
4,7,-5,10,0,0,78
4,8,6.505,-5.995,-3,2,78
4,9,1,7,0,0,78
4,10,15.5,0.5,-1,1,78
4,11,-5,-7,0,0,78
4,12,-2,-10,0,0,78
4,13,16.625,1.125,-3,2,78
4,14,38.655901293151295,16.428298340548338,-120,15,78
4,15,-7,-4,0,0,78
4,16,16.777666666666665,14.794333333333332,-15,5,78
4,17,15.686666666666667,-5.1466666666666665,-6,3,78
4,18,2,1,0,0,78
4,19,13.085,-6.415,-3,2,78
4,20,4.185,1.3516666666666663,-6,3,78
5,1,12.715,15.215,15,2,78
5,2,-5,-7,0,0,78
5,3,-6,8,0,0,78
5,4,-8,7,0,0,78
5,6,39.06666666666667,27.233333333333334,30,3,78
5,7,8,0.001,0,0,78
5,8,17.79,13.79,5,1,78
5,9,43.20483333333334,22.05483333333333,105,6,78
5,10,24.88,3.0466666666666664,30,3,78
5,11,9,2,0,0,78
5,12,-3,-5,0,0,78
5,13,86.25698574818583,61.045405522736985,5880,48,78
5,14,-10,-2,0,0,78
5,15,3,10,0,0,78
5,16,45.09914285714285,18.074142857142856,180,8,78
5,17,28.96,22.46,15,2,78
5,18,7.199999999999999,18.2,5,1,78
5,19,29.988333333333333,9.405,50,4,78
5,20,3,-8,0,0,78
6,1,-3.2873333333333337,-7.137333333333333,60,5,78
6,2,0.8333333333333333,-22.666666666666668,24,3,78
6,3,-14,-11,4,1,78
6,4,-17.416666666666668,-17.666666666666664,40,4,78
6,5,-2.166666666666667,-15.666666666666666,24,3,78
6,7,-0.14166666666666605,4.358333333333334,24,3,78
6,8,-5.96,-4.46,12,2,78
6,9,-2.7650000000000006,-12.614999999999998,60,5,78
6,10,-0.6191428571428572,-7.397714285714285,112,7,78
6,11,-9.280000000000001,-12.280000000000001,4,1,78
6,12,6.001380952380953,-12.777190476190475,112,7,78
6,13,-9.38,-12.88,24,3,78
6,14,-14.904333333333334,-9.754333333333335,60,5,78
6,15,-0.7649999999999999,-12.614999999999998,60,5,78
6,16,7.640833333333334,-12.609166666666667,40,4,78
6,17,-0.6716666666666666,-12.171666666666667,24,3,78
6,18,-8,3,0,0,78
6,19,3.2479554889554887,0.29326850926850956,480,15,78
6,20,-9.27,-5.77,12,2,78
7,1,-14.16,-10.16,3,2,78
7,2,-9.75,-4.75,3,2,78
7,3,-3,-9,3,2,78
7,4,-1,-3,0,0,78
7,5,4,3,0,0,78
7,6,-13.58,2.7533333333333334,6,3,78
7,8,-5.005833333333333,-6.6725,10,4,78
7,9,-7,0,1,1,78
7,10,-7,10,0,0,78
7,11,1.315,0.31499999999999995,3,2,78
7,12,-6,10,0,0,78
7,13,4904.199888888888,4911.916761904762,55,10,78
7,14,-3,9,0,0,78
7,15,-2,-4,1,1,78
7,16,-4.28,9.719999999999999,1,1,78
7,17,6.6717267896918955,25.07172127209922,946,43,78
7,18,-6.748333333333333,8.585,6,3,78
7,19,-8.75,-4.75,3,2,78
7,20,-18.685,0.31499999999999995,3,2,78
8,1,-13,-16,1,1,78
8,2,-15,-7,1,1,78
8,3,-9,-1,0,0,78
8,4,-6.105,-9.605,3,2,78
8,5,-18,-18,1,1,78
8,6,-8.675,-14.175,3,2,78
8,7,-8.629999999999999,-8.713333333333335,10,4,78
8,9,-11.108333333333334,-14.941666666666668,6,3,78
8,10,-4.108833333333333,-10.558833333333334,21,6,78
8,11,-9.89,1.6099999999999994,3,2,78
8,12,-7,9,0,0,78
8,13,3,7,0,0,78
8,14,-8.038333333333334,-11.321666666666665,15,5,78
8,15,-2.3328333333333333,-12.616166666666667,15,5,78
8,16,2.79,-12.21,1,1,78
8,17,-4,-8,0,0,78
8,18,10059.389833394063,10056.995885278513,1035,45,78
8,19,1,9,0,0,78
8,20,1,8,0,0,78
9,1,6.040833333333333,-14.374833333333333,-90,4,78
9,2,-0.5,-6,-27,2,78
9,3,-13.416666666666666,-26.833333333333332,-90,4,78
9,4,-9,-3,0,0,78
9,5,-0.7500000000000003,-18.000000000000004,-189,6,78
9,6,2.01,-14.406666666666666,-135,5,78
9,7,-14,-13,-9,1,78
9,8,-3.0566666666666666,-8.223333333333333,-54,3,78
9,10,3.620849206349207,-15.523992063492063,-405,9,78
9,11,6.96,-13.54,-27,2,78
9,12,-3.3939523809523813,-17.038793650793654,-495,10,78
9,13,-2,-8,0,0,78
9,14,-7.196666666666666,-11.363333333333332,-54,3,78
9,15,2.5519639249639248,-17.5474227994228,-594,11,78
9,16,-5.544166666666667,-15.960833333333333,-135,5,78
9,17,-7.83,-10.83,-9,1,78
9,18,-12.530000000000001,-13.030000000000001,-27,2,78
9,19,-5.780738095238095,-12.745023809523808,-252,7,78
9,20,5.553333333333333,-13.613333333333333,-54,3,78
10,1,1.0216666666666665,-7.961666666666666,-15,5,78
10,2,11.448333333333334,-11.385,-6,3,78
10,3,6.019877344877345,-16.11926406926407,-66,11,78
10,4,-1.75,6.25,-1,1,78
10,5,18.62333333333333,-12.21,-6,3,78
10,6,5.176190476190477,0.026190476190476875,-28,7,78
10,7,5,-4,0,0,78
10,8,13.086833333333335,-4.0631666666666675,-21,6,78
10,9,26.476579365079363,-11.326198412698414,-45,9,78
10,11,-6,8,0,0,78
10,12,9.240333333333334,0.25700000000000023,-15,5,78
10,13,-1,0.001,0,0,78
10,14,-1.4499999999999997,-8.95,-3,2,78
10,15,14.128702380952378,0.32592460317460303,-45,9,78
10,16,14.9925,-10.590833333333336,-10,4,78
10,17,16.279999999999998,6.779999999999999,-3,2,78
